RANK,NAME,POSITION,G,AB,BB,H,HBP,SF,SH,PCT
99,Jessica Twaddle,INF,56,172,25,67,2,1,4,0.47
100,Kayla McGory,SS,58,163,39,59,2,9,0,0.469
101,Maeve McGuire,OF,58,148,29,50,11,4,3,0.469
102,Caitlyn McCarron,SS,52,159,8,68,6,2,0,0.469
103,Kelly Kapp,OF,53,178,8,78,3,1,3,0.468
104,Berlynne Delamora,INF,61,157,49,44,10,4,1,0.468
105,Elantra Cox,OF,63,217,16,93,0,0,1,0.468
106,Nicole Schroeder,INF,55,146,35,48,3,0,1,0.467
107,Haley Hayden,2B,55,178,30,68,2,4,0,0.467
108,Taylor Spence,OF,46,149,15,60,3,0,7,0.467
109,Kayti Grable,INF,54,164,23,63,4,2,2,0.466
110,Gabrielle Snyder,SP/RP,56,182,15,78,0,3,2,0.465
111,Fahren Glackin,SP/RP,54,143,30,45,10,0,1,0.464
112,Megan Good,SP,60,180,28,69,1,2,1,0.464
-,Jayden Mount,INF,57,172,24,61,13,2,0,0.464
114,Kaitlin Mattera,C,44,118,14,44,7,1,2,0.464
-,Carlee Wallace,C,61,177,42,59,3,2,0,0.464
116,Victoria Nelson,INF,45,135,18,53,0,0,0,0.464
117,Navia Penrod,INF,58,206,11,87,5,0,2,0.464
118,Kelsea Cichocki,1B,54,168,20,68,2,4,1,0.464
119,Madysen Cossack,1B,51,140,22,53,2,2,0,0.464
120,Madisyn Palmer,OF,55,166,36,56,3,0,2,0.463
-,Jordan de los Reyes,C,57,174,28,67,0,3,0,0.463
122,Maya Thomas,OF,52,154,8,67,0,0,9,0.463
123,Emily Snider,OF,53,163,20,63,4,1,1,0.463
124,Sashel Palacios,C,53,146,29,47,10,1,1,0.462
125,Aubrey Leach,INF,60,174,43,58,0,2,1,0.461
126,Allie Arneson,INF,60,116,36,33,2,0,5,0.461
127,Meghan Rud,OF,57,192,20,76,3,0,3,0.46
128,Tera Blanco,SP,57,138,32,40,15,4,0,0.46
129,Casey Stangel,SP/RP,64,178,41,59,3,2,1,0.46
130,Erica Dick,INF,55,168,25,62,4,1,1,0.46
131,Mackenzie Wright,INF,52,161,25,58,7,3,2,0.459
132,Zaria Meshack,OF,49,147,11,61,1,0,5,0.459
133,Alex Powers,INF,64,189,36,68,2,4,0,0.459
134,Jocilynn Ellis,INF,42,95,12,36,2,0,2,0.459
135,Anissa Urtez,SS,53,156,19,64,0,6,5,0.459
136,Sydni Emanuel,OF,58,195,9,85,0,1,6,0.459
137,Tonnay Hawkins,OF,43,149,5,65,1,0,1,0.458
138,Julia Hollingsworth,OF,58,181,28,66,4,1,0,0.458
-,Kendra Lynch,SP,60,182,27,68,3,2,0,0.458
